index,task_url,task_name,task_description,language_name,code,target,set
11094,http://rosettacode.org/wiki/Hello_world/Text,Hello world/Text,"Hello world/Text is part of Short Circuit's Console Program Basics selection.
Task

Display the string Hello world! on a text console.

Related tasks

   Hello world/Graphical
   Hello world/Line Printer
   Hello world/Newbie
   Hello world/Newline omission
   Hello world/Standard error
   Hello world/Web server

",Go,"package main

import ""fmt""

func main() {
	fmt.Println(""Hello world!"")
}",Ai_generated,Go_from_Rust
7717,http://rosettacode.org/wiki/Longest_increasing_subsequence,Longest increasing subsequence,"Calculate and show here a longest increasing subsequence of the list:





{
3
,
2
,
6
,
4
,
5
,
1
}


{\displaystyle \{3,2,6,4,5,1\}}


And of the list:





{
0
,
8
,
4
,
12
,
2
,
10
,
6
,
14
,
1
,
9
,
5
,
13
,
3
,
11
,
7
,
15
}


{\displaystyle \{0,8,4,12,2,10,6,14,1,9,5,13,3,11,7,15\}}


Note that a list may have more than one subsequence that is of the maximum length.


Other tasks related to string operations:

Metrics
 Array length
 String length
 Copy a string
 Empty string  (assignment)
Counting
 Word frequency
 Letter frequency
 Jewels and stones
 I before E except after C
 Bioinformatics/base count
 Count occurrences of a substring
 Count how many vowels and consonants occur in a string
Remove/replace
 XXXX redacted
 Conjugate a Latin verb
 Remove vowels from a string
 String interpolation (included)
 Strip block comments
 Strip comments from a string
 Strip a set of characters from a string
 Strip whitespace from a string -- top and tail
 Strip control codes and extended characters from a string
Anagrams/Derangements/shuffling
 Word wheel
 ABC problem
 Sattolo cycle
 Knuth shuffle
 Ordered words
 Superpermutation minimisation
 Textonyms (using a phone text pad)
 Anagrams
 Anagrams/Deranged anagrams
 Permutations/Derangements
Find/Search/Determine
 ABC words
 Odd words
 Word ladder
 Semordnilap
 Word search
 Wordiff  (game)
 String matching
 Tea cup rim text
 Alternade words
 Changeable words
 State name puzzle
 String comparison
 Unique characters
 Unique characters in each string
 Extract file extension
 Levenshtein distance
 Palindrome detection
 Common list elements
 Longest common suffix
 Longest common prefix
 Compare a list of strings 
 Longest common substring
 Find common directory path
 Words from neighbour ones
 Change e letters to i in words
 Non-continuous subsequences
 Longest common subsequence
 Longest palindromic substrings
 Longest increasing subsequence
 Words containing ""the"" substring
 Sum of the digits of n is substring of n
 Determine if a string is numeric
 Determine if a string is collapsible
 Determine if a string is squeezable
 Determine if a string has all unique characters
 Determine if a string has all the same characters
 Longest substrings without repeating characters
 Find words which contains all the vowels
 Find words which contains most consonants
 Find words which contains more than 3 vowels
 Find words which first and last three letters are equals
 Find words which odd letters are consonants and even letters are vowels or vice_versa
Formatting
 Substring
 Rep-string
 Word wrap
 String case
 Align columns
 Literals/String
 Repeat a string
 Brace expansion
 Brace expansion using ranges
 Reverse a string
 Phrase reversals
 Comma quibbling
 Special characters
 String concatenation
 Substring/Top and tail
 Commatizing numbers
 Reverse words in a string
 Suffixation of decimal numbers
 Long literals, with continuations 
 Numerical and alphabetical suffixes
 Abbreviations, easy
 Abbreviations, simple
 Abbreviations, automatic
Song lyrics/poems/Mad Libs/phrases
 Mad Libs
 Magic 8-ball
 99 Bottles of Beer
 The Name Game (a song)
 The Old lady swallowed a fly
 The Twelve Days of Christmas
Tokenize
 Text between
 Tokenize a string
 Word break problem
 Tokenize a string with escaping
 Split a character string based on change of character
Sequences
 Show ASCII table
 De Bruijn sequences
 Self-referential sequences
 Generate lower case ASCII alphabet




Ref

 Dynamic Programming #1: Longest Increasing Subsequence on YouTube
 An efficient solution can be based on Patience sorting.

",Go,"package main

import ""fmt""

type node struct {
	val  int
	len  int
	next *node
}

func lis(v []int) {
	n := make([]node, len(v))
	for i, val := range v {
		n[i].val = val
	}

	for i := len(v) - 1; i >= 0; i-- {
		// find longest chain that can follow n[i]
		for p := &n[i]; p!= &n[len(v)]; p++ {
			if p.val > n[i].val && p.len >= n[i].len {
				n[i].next = p
				n[i].len = p.len + 1
			}
		}
	}

	// find longest chain
	var p *node
	for i, val := range n {
		if val.len > p.len {
			p = &n[i]
		}
	}

	for p!= nil {
		fmt.Printf("" %d"", p.val)
		p = p.next
	}
	fmt.Println()
}

func main() {
	x := []int{3, 2, 6, 4, 5, 1}
	y := []int{0, 8, 4, 12, 2, 10, 6, 14, 1, 9, 5, 13, 3, 11, 7, 15}

	lis(x)
	lis(y)
}",Ai_generated,Go_from_C
343,http://rosettacode.org/wiki/Multiple_distinct_objects,Multiple distinct objects,"Create a sequence (array, list, whatever) consisting of n distinct, initialized items of the same type. n should be determined at runtime.

By distinct we mean that if they are mutable, changes to one do not affect all others; if there is an appropriate equality operator they are considered unequal; etc. The code need not specify a particular kind of distinction, but do not use e.g. a numeric-range generator which does not generalize.

By initialized we mean that each item must be in a well-defined state appropriate for its type, rather than e.g. arbitrary previous memory contents in an array allocation. Do not show only an initialization technique which initializes only to ""zero"" values (e.g. calloc() or int a[n] = {}; in C), unless user-defined types can provide definitions of ""zero"" for that type.

This task was inspired by the common error of intending to do this, but instead creating a sequence of n references to the same mutable object; it might be informative to show the way to do that as well, both as a negative example and as how to do it when that's all that's actually necessary.

This task is most relevant to languages operating in the pass-references-by-value style (most object-oriented, garbage-collected, and/or 'dynamic' languages).

See also: Closures/Value capture
",Go,"foos := make([]*Foo, n)
for i := 0; i < len(foos); i++ {
    foos[i] = &Foo{}
}

// incorrect version:
foos_WRONG := make([]*Foo, n)
for i := 0; i < len(foos_WRONG); i++ {
    foos_WRONG[i] = &Foo{}
}",Ai_generated,Go_from_Java
6391,http://rosettacode.org/wiki/Floyd%27s_triangle,Floyd's triangle,"Floyd's triangle   lists the natural numbers in a right triangle aligned to the left where

 the first row is   1     (unity)
 successive rows start towards the left with the next number followed by successive naturals listing one more number than the line above.


The first few lines of a Floyd triangle looks like this:

 1
 2  3
 4  5  6
 7  8  9 10
11 12 13 14 15



Task

 Write a program to generate and display here the first   n   lines of a Floyd triangle. 
(Use   n=5   and   n=14   rows).
 Ensure that when displayed in a mono-space font, the numbers line up in vertical columns as shown and that only one space separates numbers of the last row.

",Go,"package main

import (
	""fmt""
	""strconv""
	""strings""
)

func main() {
	var count int
	if len(os.Args) >= 1 && int.TryParse(os.Args[0], out count) && count > 0 {
		fmt.Println(MakeTriangle(count))
	} else {
		fmt.Println(MakeTriangle(5))
		fmt.Println()
		fmt.Println(MakeTriangle(14))
	}
}

func MakeTriangle(rows int) string {
	maxValue := (rows * (rows + 1)) / 2
	digit := 0
	output := strings.Builder{}

	for row := 1; row <= rows; row++ {
		for column := 0; column < row; column++ {
			colMaxDigit := (maxValue - rows) + column + 1
			if column > 0 {
				output.Append(' ')
			}

			digit++
			output.Append(strconv.Itoa(digit).PadLeft(strconv.Itoa(colMaxDigit).Length()))
		}

		output.AppendLine()
	}

	return output.ToString()
}",Ai_generated,Go_from_C#
1500,http://rosettacode.org/wiki/Arithmetic_numbers,Arithmetic numbers,"Definition
A positive integer n is an arithmetic number if the average of its positive divisors is also an integer.

Clearly all odd primes p must be arithmetic numbers because their only divisors are 1 and p whose sum is even and hence their average must be an integer. However, the prime number 2 is not an arithmetic number because the average of its divisors is 1.5.

Example
30 is an arithmetic number because its 7 divisors are: [1, 2, 3, 5, 6, 10, 15, 30], their sum is 72 and average 9 which is an integer.

Task
Calculate and show here:

1. The first 100 arithmetic numbers.

2. The xth arithmetic number where x = 1,000 and x = 10,000.

3. How many of the first x arithmetic numbers are composite.

Note that, technically, the arithmetic number 1 is neither prime nor composite.

Stretch
Carry out the same exercise in 2. and 3. above for x = 100,000 and x = 1,000,000.

References
 Wikipedia: Arithmetic number
 OEIS:A003601 - Numbers n such that the average of the divisors of n is an integer



",Go,"package main

import ""fmt""

func divisor_count_and_sum(n uint) (uint, uint) {
	divisor_count := uint(0)
	divisor_sum := uint(0)
	for i := uint(1); ; i++ {
		j := n / i
		if j < i {
			break
		}
		if i*j!= n {
			continue
		}
		divisor_sum += i
		divisor_count += 1
		if i!= j {
			divisor_sum += j
			divisor_count += 1
		}
	}
	return divisor_count, divisor_sum
}

func main() {
	arithmetic_count := uint(0)
	composite_count := uint(0)

	for n := uint(1); arithmetic_count <= 1000000; n++ {
		divisor_count, divisor_sum := divisor_count_and_sum(n)
		mean := divisor_sum / divisor_count
		if mean*divisor_count!= divisor_sum {
			continue
		}
		arithmetic_count++
		if divisor_count > 2 {
			composite_count++
		}
		if arithmetic_count <= 100 {
			fmt.Printf(""%3d "", n)
			if arithmetic_count%10 == 0 {
				fmt.Printf(""\n"")
			}
		}
		if arithmetic_count == 1000 || arithmetic_count == 10000 || arithmetic_count == 100000 || arithmetic_count == 1000000 {
			fmt.Printf(""\n%uth arithmetic number is %d\n"", arithmetic_count, n)
			fmt.Printf(""Number of composite arithmetic numbers <= %d: %d\n"", n, composite_count)
		}
	}
}",Ai_generated,Go_from_C++
10773,http://rosettacode.org/wiki/Sorting_algorithms/Stooge_sort,Sorting algorithms/Stooge sort,"
Sorting Algorithm

This is a sorting algorithm.   It may be applied to a set of data in order to sort it.    
For comparing various sorts, see compare sorts.  
For other sorting algorithms,   see sorting algorithms,   or:

O(n logn) sorts
Heap sort |
Merge sort |
Patience sort |
Quick sort
O(n log2n) sorts
Shell Sort
O(n2) sorts
Bubble sort |
Cocktail sort |
Cocktail sort with shifting bounds |
Comb sort |
Cycle sort |
Gnome sort |
Insertion sort |
Selection sort |
Strand sort
other sorts
Bead sort |
Bogo sort |
Common sorted list |
Composite structures sort |
Custom comparator sort |
Counting sort |
Disjoint sublist sort |
External sort |
Jort sort |
Lexicographical sort |
Natural sorting |
Order by pair comparisons |
Order disjoint list items |
Order two numerical lists |
Object identifier (OID) sort |
Pancake sort |
Quickselect |
Permutation sort |
Radix sort |
Ranking methods |
Remove duplicate elements |
Sleep sort |
Stooge sort |
[Sort letters of a string] |
Three variable sort |
Topological sort |
Tree sort




 This page uses content from Wikipedia. The original article was at Stooge sort. The list of authors can be seen in the page history. As with Rosetta Code, the text of Wikipedia is available under the GNU FDL. (See links for details on variance)



Task

Show the   Stooge Sort   for an array of integers.



The Stooge Sort algorithm is as follows:

algorithm stoogesort(array L, i = 0, j = length(L)-1)
     if L[j] < L[i] then
         L[i] ↔ L[j]
     if j - i > 1 then
         t := (j - i + 1)/3
         stoogesort(L, i  , j-t)
         stoogesort(L, i+t, j  )
         stoogesort(L, i  , j-t)
     return L


",Go,"package main
 
import ""fmt""
 
func stoogesort(a []int) {
    len := len(a)
 
    if a[0] > a[len-1] {
        a[0], a[len-1] = a[len-1], a[0]
    }
    if len-1 > 1 {
        t := len / 3
        stoogesort(a[:len-1])
        stoogesort(a[t:])
        stoogesort(a[:len-1])
    }
}
 
func main() {
    numbers := []int{1, 9, 4, 7, 6, 5, 3, 2, 8}
    fmt.Println(""Before:"", numbers)
    stoogesort(numbers)
    fmt.Println(""After:"", numbers)
}",Ai_generated,Go_from_Rust
6199,http://rosettacode.org/wiki/Ordered_words,Ordered words,"An   ordered word   is a word in which the letters appear in alphabetic order.

Examples include   abbey   and   dirt.

Task[edit]
Find and display all the ordered words in the dictionary   unixdict.txt   that have the longest word length.

(Examples that access the dictionary file locally assume that you have downloaded this file yourself.)

The display needs to be shown on this page.

Related tasks
Word plays

Ordered words
Palindrome detection
Semordnilap
Anagrams
Anagrams/Deranged anagrams





Other tasks related to string operations:

Metrics
 Array length
 String length
 Copy a string
 Empty string  (assignment)
Counting
 Word frequency
 Letter frequency
 Jewels and stones
 I before E except after C
 Bioinformatics/base count
 Count occurrences of a substring
 Count how many vowels and consonants occur in a string
Remove/replace
 XXXX redacted
 Conjugate a Latin verb
 Remove vowels from a string
 String interpolation (included)
 Strip block comments
 Strip comments from a string
 Strip a set of characters from a string
 Strip whitespace from a string -- top and tail
 Strip control codes and extended characters from a string
Anagrams/Derangements/shuffling
 Word wheel
 ABC problem
 Sattolo cycle
 Knuth shuffle
 Ordered words
 Superpermutation minimisation
 Textonyms (using a phone text pad)
 Anagrams
 Anagrams/Deranged anagrams
 Permutations/Derangements
Find/Search/Determine
 ABC words
 Odd words
 Word ladder
 Semordnilap
 Word search
 Wordiff  (game)
 String matching
 Tea cup rim text
 Alternade words
 Changeable words
 State name puzzle
 String comparison
 Unique characters
 Unique characters in each string
 Extract file extension
 Levenshtein distance
 Palindrome detection
 Common list elements
 Longest common suffix
 Longest common prefix
 Compare a list of strings 
 Longest common substring
 Find common directory path
 Words from neighbour ones
 Change e letters to i in words
 Non-continuous subsequences
 Longest common subsequence
 Longest palindromic substrings
 Longest increasing subsequence
 Words containing ""the"" substring
 Sum of the digits of n is substring of n
 Determine if a string is numeric
 Determine if a string is collapsible
 Determine if a string is squeezable
 Determine if a string has all unique characters
 Determine if a string has all the same characters
 Longest substrings without repeating characters
 Find words which contains all the vowels
 Find words which contains most consonants
 Find words which contains more than 3 vowels
 Find words which first and last three letters are equals
 Find words which odd letters are consonants and even letters are vowels or vice_versa
Formatting
 Substring
 Rep-string
 Word wrap
 String case
 Align columns
 Literals/String
 Repeat a string
 Brace expansion
 Brace expansion using ranges
 Reverse a string
 Phrase reversals
 Comma quibbling
 Special characters
 String concatenation
 Substring/Top and tail
 Commatizing numbers
 Reverse words in a string
 Suffixation of decimal numbers
 Long literals, with continuations 
 Numerical and alphabetical suffixes
 Abbreviations, easy
 Abbreviations, simple
 Abbreviations, automatic
Song lyrics/poems/Mad Libs/phrases
 Mad Libs
 Magic 8-ball
 99 Bottles of Beer
 The Name Game (a song)
 The Old lady swallowed a fly
 The Twelve Days of Christmas
Tokenize
 Text between
 Tokenize a string
 Word break problem
 Tokenize a string with escaping
 Split a character string based on change of character
Sequences
 Show ASCII table
 De Bruijn sequences
 Self-referential sequences
 Generate lower case ASCII alphabet



",Go,"package main

import (
	""fmt""
	""io/ioutil""
	""net/http""
	""sort""
	""strings""
)

func main() {
	client := &http.Client{}
	req, _ := http.NewRequest(""GET"", ""http://www.puzzlers.org/pub/wordlists/unixdict.txt"", nil)
	resp, _ := client.Do(req)
	defer resp.Body.Close()
	body, _ := ioutil.ReadAll(resp.Body)
	words := strings.Split(string(body), ""\n"")

	var query []string
	for _, w := range words {
		if isOrderedWord(w) {
			query = append(query, w)
		}
	}
	sort.Sort(sort.Reverse(sort.StringSlice(query)))
	fmt.Println(strings.Join(query, "", ""))
}

func isOrderedWord(w string) bool {
	for i := 1; i < len(w); i++ {
		if w[i] < w[i-1] {
			return false
		}
	}
	return true
}",Ai_generated,Go_from_C#
7778,http://rosettacode.org/wiki/Integer_overflow,Integer overflow,"Some languages support one or more integer types of the underlying processor.

This integer types have fixed size;   usually   8-bit,   16-bit,   32-bit,   or   64-bit.

The integers supported by such a type can be   signed   or   unsigned.

Arithmetic for machine level integers can often be done by single CPU instructions.

This allows high performance and is the main reason to support machine level integers.



Definition

An integer overflow happens when the result of a computation does not fit into the fixed size integer.
The result can be too small or too big to be representable in the fixed size integer.



Task

When a language has fixed size integer types, create a program that
does arithmetic computations for the fixed size integers of the language.

These computations must be done such that the result would overflow.

The program should demonstrate what the following expressions do.



For 32-bit signed integers:



Expression

Result that does not fit into a 32-bit signed integer


 -(-2147483647-1)

 2147483648


 2000000000 + 2000000000

 4000000000


 -2147483647 - 2147483647

 -4294967294


 46341 * 46341

 2147488281


 (-2147483647-1) / -1

 2147483648

For 64-bit signed integers:



Expression

Result that does not fit into a 64-bit signed integer


 -(-9223372036854775807-1)

 9223372036854775808


 5000000000000000000+5000000000000000000

 10000000000000000000


 -9223372036854775807 - 9223372036854775807

 -18446744073709551614


 3037000500 * 3037000500

 9223372037000250000


 (-9223372036854775807-1) / -1

 9223372036854775808

For 32-bit unsigned integers:



Expression

Result that does not fit into a 32-bit unsigned integer


 -4294967295

 -4294967295


 3000000000 + 3000000000

 6000000000


 2147483647 - 4294967295

 -2147483648


 65537 * 65537

 4295098369

For 64-bit unsigned integers:



Expression

Result that does not fit into a 64-bit unsigned integer


 -18446744073709551615

 -18446744073709551615


 10000000000000000000 + 10000000000000000000

 20000000000000000000


 9223372036854775807 - 18446744073709551615

 -9223372036854775808


 4294967296 * 4294967296

 18446744073709551616



Notes

   When the integer overflow does trigger an exception show how the exception is caught.
   When the integer overflow produces some value,   print it.
   It should be explicitly noted when an integer overflow is not recognized,   the program continues with wrong results.
   This should be done for signed and unsigned integers of various sizes supported by the computer programming language.
   When a language has no fixed size integer type,   or when no integer overflow can occur for other reasons,   this should be noted.
   It is okay to mention,   when a language supports unlimited precision integers,   but this task is NOT the place to demonstrate the 
  capabilities of unlimited precision integers.

",Go,"package main

import ""fmt""

func main() {
	fmt.Println(""Signed 32-bit:"")
	fmt.Println(-(-2147483647 - 1))
	fmt.Println(2000000000 + 2000000000)
	fmt.Println(-2147483647 - 2147483647)
	fmt.Println(46341 * 46341)
	fmt.Println((-2147483647 - 1) / -1)
	fmt.Println(""Signed 64-bit:"")
	fmt.Println(-(-9223372036854775807 - 1))
	fmt.Println(5000000000000000000 + 5000000000000000000)
	fmt.Println(-9223372036854775807 - 9223372036854775807)
	fmt.Println(3037000500 * 3037000500)
	fmt.Println((-9223372036854775807 - 1) / -1)
	fmt.Println(""Unsigned 32-bit:"")
	fmt.Println(-4294967295)
	fmt.Println(3000000000 + 3000000000)
	fmt.Println(2147483647 - 4294967295)
	fmt.Println(65537 * 65537)
	fmt.Println(""Unsigned 64-bit:"")
	fmt.Println(-18446744073709551615)
	fmt.Println(10000000000000000000 + 10000000000000000000)
	fmt.Println(9223372036854775807 - 18446744073709551615)
	fmt.Println(4294967296 * 4294967296)
}",Ai_generated,Go_from_C
11216,http://rosettacode.org/wiki/Convert_decimal_number_to_rational,Convert decimal number to rational,"This task has been flagged for clarification. Code on this page in its current state may be flagged incorrect once this task has been clarified. See this page's Talk page for discussion.


The task is to write a program to transform a decimal number into a fraction in lowest terms.

It is not always possible to do this exactly. For instance, while rational numbers can be converted to decimal representation, some of them need an infinite number of digits to be represented exactly in decimal form. Namely, repeating decimals such as 1/3 = 0.333...

Because of this, the following fractions cannot be obtained (reliably) unless the language has some way of representing repeating decimals:

 67 / 74 = 0.9(054) = 0.9054054...
 14 / 27 = 0.(518) = 0.518518...

Acceptable output:

 0.9054054 → 4527027 / 5000000
 0.518518 → 259259 / 500000

Finite decimals are of course no problem:

 0.75 → 3 / 4 

",Go,"package main
 
import (
    ""fmt""
    ""math/rand""
    ""math""
)
 
func decimal_to_rational (n float64) (int, int) {
    //Based on Farey sequences
    if math.IsInf(n, 0) { panic(""The number is infinite"") }
    flag_neg  := n < 0.0
    if flag_neg { n = n*(-1.0) }
    if n < math.SmallestNonzeroFloat64 { return 0,1 }
    if math.Abs(n - math.Round(n)) < math.SmallestNonzeroFloat64 { return int(math.Round(n)), 1 }
    a := 0
    b := 1
    c := int(math.Ceil(n))
    d := 1
    aux1 := int(math.MaxInt64/2)
    for c < aux1  && d < aux1 {
        aux2 := (float64(a) + float64(c))/(float64(b) + float64(d))
        if math.Abs(n - aux2) < math.SmallestNonzeroFloat64 { break } 
        if n > aux2 { 
            a = a + c
            b = b + d
        } else {
            c = a + c
            d = b + d
        }
    }
    // Make sure that the fraction is irreducible
    gcd := GCD(a+c, b+d)
    if flag_neg { return -(a + c)/gcd, (b + d)/gcd } else { return (a + c)/gcd, (b + d)/gcd }
} 
 
func GCD(a, b int) int {
    for b!= 0 {
        t := b
        b = a % b
        a = t
    }
    return a
}
 
func main () {
    for i := 0; i < 10; i++ {
        number := rand.Float64()
        result := decimal_to_rational(number)
        if result[1] == 1 { fmt.Printf(""%f -> %d\n"", number, result[0]) } else { fmt.Printf(""%f ->  %d/%d\n"", number, result[0], result[1]) }
    }
    for _, i := range []float64{-0.9054054, 0.518518, -0.75, 0.5185185185185185, -0.9054054054054054, 0.0, 1.0, 2.0} {
        result := decimal_to_rational(i)
        if result[1] == 1 { fmt.Printf(""%f = %d\n"", i, result[0]) } else { fmt.Printf(""%f =  %d/%d\n"", i, result[0], result[1]) }
    }
}",Ai_generated,Go_from_Rust
5377,http://rosettacode.org/wiki/Angle_difference_between_two_bearings,Angle difference between two bearings,"Finding the angle between two bearings is often confusing.[1]



Task

Find the angle which is the result of the subtraction b2 - b1, where b1 and b2 are the bearings.


Input bearings are expressed in the range   -180   to   +180   degrees.

The  result  is also expressed in the range   -180   to   +180   degrees.



Compute the angle for the following pairs:

 20 degrees (b1) and 45 degrees (b2)
 -45 and 45
 -85 and 90
 -95 and 90
 -45 and 125
 -45 and 145
 29.4803 and -88.6381
 -78.3251 and -159.036


Optional extra
 
Allow the input bearings to be any (finite) value.



Test cases

 -70099.74233810938 and 29840.67437876723
 -165313.6666297357 and 33693.9894517456
 1174.8380510598456 and -154146.66490124757
 60175.77306795546 and 42213.07192354373

",Go,"package main

import (
	""fmt""
	""math""
)

func relativeBearing(b1Rad, b2Rad float64) float64 {
	b1y := math.Cos(b1Rad)
	b1x := math.Sin(b1Rad)
	b2y := math.Cos(b2Rad)
	b2x := math.Sin(b2Rad)
	crossp := b1y*b2x - b2y*b1x
	dotp := b1x*b2x + b1y*b2y
	if crossp > 0. {
		return math.Acos(dotp)
	}
	return -math.Acos(dotp)
}

func test() string {
	deg2rad := 3.14159265 / 180.0
	rad2deg := 180.0 / 3.14159265
	return fmt.Sprintf(""Input in -180 to +180 range\n%f\n%f\n%f\n%f\n%f\n%f\n\n%f\n%f\n\nInput in wider range\n%f\n%f\n%f\n%f\n"",
		relativeBearing(20.0*deg2rad, 45.0*deg2rad)*rad2deg,
		relativeBearing(-45.0*deg2rad, 45.0*deg2rad)*rad2deg,
		relativeBearing(-85.0*deg2rad, 90.0*deg2rad)*rad2deg,
		relativeBearing(-95.0*deg2rad, 90.0*deg2rad)*rad2deg,
		relativeBearing(-45.0*deg2rad, 125.0*deg2rad)*rad2deg,
		relativeBearing(-45.0*deg2rad, 145.0*deg2rad)*rad2deg,
		relativeBearing(29.4803*deg2rad, -88.6381*deg2rad)*rad2deg,
		relativeBearing(-78.3251*deg2rad, -159.036*deg2rad)*rad2deg,
		relativeBearing(-70099.74233810938*deg2rad, 29840.67437876723*deg2rad)*rad2deg,
		relativeBearing(-165313.6666297357*deg2rad, 33693.9894517456*deg2rad)*rad2deg,
		relativeBearing(1174.8380510598456*deg2rad, -154146.66490124757*deg2rad)*rad2deg,
		relativeBearing(60175.77306795546*deg2rad, 42213.07192354373*deg2rad)*rad2deg)
}

func main() {
	fmt.Println(test())
}",Ai_generated,Go_from_JavaScript
